Area_of_Origin
3564
2489
1336
1241
1115
766
571
548
517
511
492
467
414
387
360
326
308
304
269
230
210
207
204
203
199
194
160
149
148
145
142
133
120
118
103
97
91
82
76
75
69
68
64
64
60
60
48
46
42
38
37
37
34
28
27
26
25
23
23
21
21
19
18
18
16
15
12
10
9
9
3
2
1
1
